ID, Compulsory, Natural, Social
BD1200296 11.6 0 18
BD1200297 17.4 0 15.75
BD1200298 22.25 21.75 0
BD1200299 19.35 15.5 0
BD1200300 9.6 0 13.25
BD1200301 12.85 0 19
BD1200302 15.25 0 21.25
BD1200303 18.6 18.75 23
BD1200304 11.85 6 14
BD1200305 25.6 0 20.25
BD1200306 9.3 8.25 16.75
BD1200307 10.7 8.75 17
BD1200308 10.05 9 16.5
BD1200309 16.7 0 24
BD1200310 11.3 0 19.5
BD1200311 19.8 17.75 0
BD1200312 12.8 0 15.75
BD1200313 14.5 15.5 0
BD1200314 14.25 0 18.25
BD1200315 14.65 12.75 0
BD1200316 11.8 0 17
BD1200317 11.7 0 14.75
BD1200318 16.7 16.25 0
BD1200319 16.2 0 21.75
BD1200320 19.05 16 0
BD1200321 10.95 12.5 12.75
BD1200322 15.65 14.75 0
BD1200323 17 15.75 0
BD1200324 14.8 10.5 0
BD1200325 15.35 0 18.5
BD1200326 17.1 21.75 0
BD1200327 16.2 0 16.25
BD1200328 19.9 0 19.75
BD1200329 12.2 0 17.5
BD1200330 13.8 0 19.75
BD1200331 10.5 0 13.75
BD1200332 16.8 0 21.5
BD1200333 13.75 9.75 17.25
BD1200334 19.15 16.5 0
BD1200335 11.7 10.5 0
BD1200336 10.15 0 17
BD1200337 22.8 0 21.5
BD1200338 17.45 18.25 0
BD1200339 13.15 9.25 19.5
BD1200340 19.65 14 0
BD1200341 19.6 18 0
BD1200342 9.4 0 11.5
BD1200343 15.9 16 0
BD1200344 14.9 7.5 16.75
BD1200345 17.8 0 20.75
BD1200346 17.55 17.75 0
BD1200347 13.55 0 17.25
BD1200348 15.3 6 19.25
BD1200349 14.8 0 23
BD1200350 20.95 15.75 0
BD1200351 16.15 0 13.5
BD1200352 12.65 0 16.25
BD1200353 15.6 0 19.25
BD1200354 13 0 17.75
BD1200355 12.6 11 0
BD1200356 17.15 0 19.25
BD1200357 11.2 0 17.25
BD1200358 6.85 0 13
BD1200359 14.8 15.25 0
BD1200360 15.2 0 17.75
BD1200361 16.3 0 16.5
BD1200362 19.65 19.75 0
BD1200363 19.2 19 14
BD1200364 12.3 0 13.75
BD1200365 12.4 0 15.25
BD1200366 17.25 15 0
BD1200367 10.3 6.25 13.75
BD1200368 19.55 0 19.5
BD1200369 21.5 17.5 0
BD1200370 16.35 9.5 21.75
BD1200371 13.6 16.25 0
BD1200372 17.9 18.25 0
BD1200373 14.4 0 18.5
BD1200374 11.7 13.5 0
BD1200375 17.3 16.75 0
BD1200376 21.2 19.5 0
BD1200377 14.1 13.25 17.75
BD1200379 13.75 7.75 18.5
BD1200380 9.85 0 17.5
BD1200381 21.35 20.5 0
BD1200382 12.3 0 21
BD1200383 18 13 0
BD1200384 20.75 0 22
BD1200385 13.25 14.25 0
BD1200386 15.35 14.5 0
BD1200387 9.4 0 13.75
BD1200388 16.25 15 0
BD1200389 13.7 10.25 18.25
BD1200390 21.05 17.75 0
BD1200391 10 0 13.5
BD1200392 12.85 0 19
BD1200393 18.1 17 0
BD1200394 18 15.5 0
BD1200395 10.5 0 12.25
BD1200396 14.65 0 18.5
BD1200397 14.1 11.75 0
BD1200398 14.25 10 0
BD1200399 17.6 0 18.75
BD1200400 17.85 0 26.25
BD1200401 18.1 19.75 0
BD1200402 9.95 0 18
BD1200403 19.95 19.75 0
BD1200404 18.3 0 22.75
BD1200405 16.75 0 23
BD1200406 22.4 20.5 0
BD1200407 7.8 14 0
BD1200408 19.25 16 0
BD1200409 17.5 0 21.75
BD1200410 11.8 0 18.5
BD1200411 14.15 0 21.25
BD1200412 7.2 14.25 0
BD1200413 15.4 14.75 0
BD1200414 13.4 7.75 15.5
BD1200415 17.25 0 19
BD1200416 19.6 14.5 17.5
BD1200417 20.4 20.25 0
BD1200418 11.9 0 17.5
BD1200419 11.5 0 15
BD1200420 17.65 0 19.25
BD1200421 10 8.5 15.5
BD1200422 18.6 18.25 0
BD1200423 19.85 0 20
BD1200424 14.4 15.75 0
BD1200425 15.2 0 18.25
BD1200426 12.25 0 15.5
BD1200427 19.2 17 0
BD1200428 15.35 0 18.5
BD1200429 13.65 0 18.5
BD1200430 16.45 0 17
BD1200431 15.2 12 15.5
BD1200432 16.45 0 24
BD1200433 14.3 0 17
BD1200434 22.95 14 0
BD1200435 10.85 9.5 15.75
BD1200436 7.3 10.25 16
BD1200437 14.05 18 17.5
BD1200438 12.35 0 20.75
BD1200439 20.9 16 0
BD1200440 14.5 0 15.75
BD1200441 13.9 0 17.25
BD1200442 17.9 0 19
BD1200443 15.15 18.75 0
BD1200444 16.6 18 0
BD1200445 18 0 24.25
BD1200446 12.25 0 20.75
BD1200447 13 0 15.75
BD1200448 18.45 0 19.25
BD1200449 16.3 0 20.25
BD1200450 18.85 0 22
BD1200451 12 0 15.25
BD1200452 12.8 10.25 0
BD1200453 13.65 0 14.25
BD1200454 13.8 0 20.5
BD1200455 15.75 16.75 0
BD1200456 14.65 9.75 0
BD1200457 17.05 0 19
BD1200458 8.65 0 14.25
BD1200459 13.6 15.5 0
BD1200460 17.1 18.5 0
BD1200461 15.2 0 17.25
BD1200462 21.5 13.25 0
BD1200463 23.4 0 19.75
BD1200464 16.4 0 19.75
BD1200465 17.7 15.75 0
BD1200466 18.1 20.25 0
BD1200467 17.45 15 0
BD1200468 10.05 7.25 16.5
BD1200469 12.05 10.5 14.5
BD1200470 18.6 0 21.5
BD1200471 13.55 0 20
BD1200472 11.05 12.5 15
BD1200473 7.5 0 12.25
BD1200474 22.1 18.25 0
BD1200475 21.65 15.25 0
BD1200476 13.85 0 18.25
BD1200477 15 12.5 0
BD1200478 6.95 0 15
BD1200479 12.35 0 18.75
BD1200480 19.85 15.5 0
BD1200481 11.3 0 15
BD1200482 17.1 0 21.25
BD1200483 16.3 16 0
BD1200484 17 0 20.5
BD1200485 13.3 10.5 13.75
BD1200486 15.15 0 18.75
BD1200487 15.3 0 21.25
BD1200488 12.4 0 16
BD1200489 8.7 0 15.75
BD1200490 16.1 19.75 0
BD1200491 15.8 14.25 0
BD1200492 17.35 20 0
BD1200493 15 15.5 0
BD1200494 11 9.25 16.75
BD1200495 10.5 0 18.5
BD1200496 16.2 11.25 17.5
BD1200497 12.25 0 18.75
BD1200498 17.95 17.75 0
BD1200499 10.1 0 16.75
BD1200500 16.75 15.75 0
BD1200501 13.2 6.75 14.25
BD1200502 17.4 14.5 0
BD1200503 13.9 13 0
BD1200504 18.7 0 18.5
BD1200505 18.7 14.5 0
BD1200506 12.7 0 16.75
BD1200507 17.75 0 18.75
BD1200508 20.6 0 21.75
BD1200509 10 7.75 13.5
BD1200510 20.25 0 22
BD1200511 11.9 11 0
BD1200512 12.05 0 14.5
BD1200513 18.4 16.25 18.25
BD1200514 17.8 0 20.25
BD1200515 8.1 0 14
BD1200516 10.65 0 15.25
BD1200517 10.5 0 16.75
BD1200518 12.55 0 18
BD1200519 15.85 21 0
BD1200520 17.6 0 20
BD1200521 11.9 0 13
BD1200522 16.85 0 21.5
BD1200523 4.75 0 6.75
BD1200524 10.35 0 12
BD1200525 16.25 11.5 22.25
BD1200526 15.75 17.25 0
BD1200527 19.85 21.5 0
BD1200528 19.8 18.5 0
BD1200529 11.5 9.5 15
BD1200531 15.9 0 20.75
BD1200532 13 13.75 0
BD1200533 17.6 0 22.25
BD1200534 13.35 0 18
BD1200535 11.25 9 16.25
BD1200536 11.55 7.75 18
BD1200537 19.85 20 0
BD1200538 19.6 19.75 0
BD1200539 17.8 19.5 0
BD1200540 18.85 16.5 0
BD1200541 23.65 14.75 0
BD1200542 19.2 11.75 0
BD1200543 15.85 0 19
